STA,Lat,Long,Segment
25965,-6.221014123,106.5691891,Bitung - Cikupa
25970,-6.22100751,106.5691444,Bitung - Cikupa
25975,-6.221000888,106.5690997,Bitung - Cikupa
25980,-6.220994184,106.569055,Bitung - Cikupa
25985,-6.220987471,106.5690103,Bitung - Cikupa
25990,-6.220980722,106.5689656,Bitung - Cikupa
25995,-6.220973955,106.568921,Bitung - Cikupa
26000,-6.220967179,106.5688763,Bitung - Cikupa
26005,-6.220960312,106.5688316,Bitung - Cikupa
26010,-6.220953437,106.568787,Bitung - Cikupa
26015,-6.220946525,106.5687423,Bitung - Cikupa
26020,-6.220939577,106.5686977,Bitung - Cikupa
26025,-6.220932629,106.5686531,Bitung - Cikupa
26030,-6.220925618,106.5686084,Bitung - Cikupa
26035,-6.220918606,106.5685638,Bitung - Cikupa
26040,-6.220911586,106.5685191,Bitung - Cikupa
26045,-6.220904556,106.5684745,Bitung - Cikupa
26050,-6.220897527,106.5684299,Bitung - Cikupa
26055,-6.220890353,106.5683853,Bitung - Cikupa
26060,-6.220883169,106.5683407,Bitung - Cikupa
26065,-6.220875896,106.5682961,Bitung - Cikupa
26070,-6.22086854,106.5682515,Bitung - Cikupa
26075,-6.220861185,106.5682069,Bitung - Cikupa
26080,-6.22085374,106.5681624,Bitung - Cikupa
26085,-6.220846285,106.5681178,Bitung - Cikupa
26090,-6.220838758,106.5680732,Bitung - Cikupa
26095,-6.220831149,106.5680287,Bitung - Cikupa
26100,-6.220823541,106.5679842,Bitung - Cikupa
26105,-6.220815787,106.5679397,Bitung - Cikupa
26110,-6.220808034,106.5678951,Bitung - Cikupa
26115,-6.220800245,106.5678506,Bitung - Cikupa
26120,-6.220792419,106.5678061,Bitung - Cikupa
26125,-6.220784575,106.5677616,Bitung - Cikupa
26130,-6.220776505,106.5677172,Bitung - Cikupa
26135,-6.220768435,106.5676727,Bitung - Cikupa
26140,-6.220760266,106.5676283,Bitung - Cikupa
26145,-6.220752024,106.5675839,Bitung - Cikupa
26150,-6.220743782,106.5675394,Bitung - Cikupa
26155,-6.220735449,106.567495,Bitung - Cikupa
26160,-6.220727117,106.5674506,Bitung - Cikupa
26165,-6.220718676,106.5674062,Bitung - Cikupa
26170,-6.220710145,106.5673619,Bitung - Cikupa
26175,-6.220701613,106.5673175,Bitung - Cikupa
26180,-6.220692982,106.5672731,Bitung - Cikupa
26185,-6.220684351,106.5672288,Bitung - Cikupa
26190,-6.220675666,106.5671845,Bitung - Cikupa
